Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Registered nurses,Jurisdictions with available data,Age,Age 45-54,74212.00,73223.00,72031.00,70702.00,69169.00,68619.00,68589.00,68332.00,68166.00,69447.00
Registered nurses,Jurisdictions with available data,Age,Age 55-64,60951.00,59728.00,58076.00,56986.00,56397.00,55693.00,55465.00,54377.00,53912.00,53287.00
Registered nurses,Jurisdictions with available data,Age,Age 65+,13703.00,14148.00,14416.00,14393.00,14767.00,15009.00,15827.00,15694.00,15660.00,15676.00
Registered nurses,Jurisdictions with available data,Age,Not stated,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
Registered nurses,Jurisdictions with available data,Age,Average age,44.70,44.40,44.20,44.00,43.70,43.60,43.40,43.30,43.20,42.90
Registered nurses,Jurisdictions with available data,Sex,Female,270275.00,270992.00,271932.00,272755.00,274611.00,277125.00,272114.00,284637.00,288751.00,299608.00
Registered nurses,Jurisdictions with available data,Sex,Male,22189.00,23030.00,23776.00,24687.00,25730.00,26854.00,27077.00,29183.00,30453.00,32968.00
Registered nurses,Jurisdictions with available data,Sex,Not stated,0.00,0.00,47.00,14.00,338.00,827.00,42.00,1895.00,2767.00,4529.00
Registered nurses,Jurisdictions with available data,Employment status,Employed in profession,279470.00,280932.00,281365.00,282394.00,273617.00,275659.00,280097.00,283071.00,289640.00,289369.00
Registered nurses,Jurisdictions with available data,Employment status,Employed in other than profession and seeking employment in profession,823.00,693.00,775.00,841.00,788.00,761.00,675.00,782.00,1433.00,2099.00
Registered nurses,Jurisdictions with available data,Employment status,Employed in other than profession and not seeking employment in profession,535.00,402.00,438.00,495.00,407.00,449.00,539.00,600.00,839.00,12334.00
Registered nurses,Jurisdictions with available data,Employment status,Not employed and seeking employment in profession,3107.00,2860.00,2679.00,2622.00,2605.00,2492.00,2499.00,2785.00,3846.00,3916.00
Registered nurses,Jurisdictions with available data,Employment status,Not employed and not seeking employment in profession,2015.00,2078.00,2123.00,2038.00,1675.00,1758.00,1943.00,2026.00,2233.00,2029.00
Registered nurses,Jurisdictions with available data,Employment status,Not stated,6514.00,7057.00,8370.00,9064.00,8588.00,10823.00,11730.00,11325.00,10216.00,13463.00
Registered nurses,Jurisdictions with available data,Location of graduation,Canadian educated,265430.00,266600.00,267921.00,269531.00,271870.00,274863.00,281017.00,282286.00,283964.00,285915.00
Registered nurses,Jurisdictions with available data,Location of graduation,Internationally educated,26296.00,26513.00,26857.00,27466.00,28308.00,29473.00,30917.00,33059.00,37341.00,48090.00
Registered nurses,Jurisdictions with available data,Location of graduation,Not stated,736.00,908.00,976.00,458.00,502.00,470.00,448.00,370.00,666.00,3100.00
Registered nurses,Jurisdictions with available data,Years since graduation,<5 years,42794.00,42431.00,42036.00,44915.00,46080.00,46402.00,47259.00,47272.00,46515.00,47461.00
Registered nurses,Jurisdictions with available data,Years since graduation,5-10 years,51069.00,53519.00,55990.00,57635.00,59362.00,62093.00,64948.00,65738.00,67509.00,69524.00
Registered nurses,Jurisdictions with available data,Years since graduation,11-20 years,60380.00,61390.00,63456.00,66487.00,69879.00,74471.00,80356.00,86052.00,92378.00,101035.00
Registered nurses,Jurisdictions with available data,Years since graduation,21-30 years,65457.00,64074.00,63367.00,61614.00,59904.00,57650.00,55235.00,53301.00,53103.00,55362.00
Registered nurses,Jurisdictions with available data,Years since graduation,31+ years,71007.00,70025.00,67806.00,66269.00,64908.00,63965.00,64238.00,63011.00,61867.00,61133.00
Registered nurses,Jurisdictions with available data,Years since graduation,Not stated,1757.00,2583.00,3100.00,536.00,547.00,226.00,346.00,341.00,599.00,2590.00
Registered psychiatric nurses,Manitoba,Supply,Total,995.00,1019.00,1054.00,1077.00,1064.00,1033.00,1112.00,1138.00,1168.00,1177.00
Registered psychiatric nurses,Manitoba,Age,Age <25,42.00,30.00,29.00,21.00,26.00,12.00,24.00,29.00,29.00,29.00
Registered psychiatric nurses,Manitoba,Age,Age 25-34,208.00,258.00,302.00,344.00,344.00,344.00,404.00,426.00,423.00,415.00
Registered psychiatric nurses,Manitoba,Age,Age 35-44,170.00,169.00,187.00,206.00,216.00,236.00,252.00,257.00,286.00,322.00
Registered psychiatric nurses,Manitoba,Age,Age 45-54,261.00,248.00,231.00,205.00,192.00,179.00,167.00,180.00,181.00,182.00
Registered psychiatric nurses,Manitoba,Age,Age 55-64,274.00,265.00,254.00,236.00,223.00,205.00,205.00,186.00,192.00,176.00
Registered psychiatric nurses,Manitoba,Age,Age 65+,40.00,49.00,51.00,65.00,63.00,57.00,60.00,60.00,57.00,53.00
Registered psychiatric nurses,Manitoba,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Manitoba,Age,Average age,45.90,45.30,44.40,43.70,43.40,43.10,42.20,41.80,41.70,41.50
Registered psychiatric nurses,Manitoba,Sex,Female,806.00,829.00,867.00,891.00,882.00,860.00,935.00,959.00,988.00,1002.00
Registered psychiatric nurses,Manitoba,Sex,Male,189.00,190.00,187.00,186.00,182.00,173.00,177.00,179.00,180.00,174.00
Registered psychiatric nurses,Manitoba,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Registered psychiatric nurses,Manitoba,Inflow,Total,78.00,104.00,108.00,108.00,86.00,59.00,144.00,88.00,90.00,305.00
Registered psychiatric nurses,Manitoba,Inflow,Age <35,68.00,78.00,78.00,79.00,66.00,34.00,105.00,65.00,67.00,228.00
Registered psychiatric nurses,Manitoba,Inflow,Age 35-54,7.00,16.00,28.00,25.00,13.00,21.00,26.00,20.00,14.00,72.00
Registered psychiatric nurses,Manitoba,Inflow,Age 55+,3.00,10.00,2.00,4.00,7.00,4.00,13.00,3.00,9.00,5.00
Registered psychiatric nurses,Manitoba,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Manitoba,Outflow,Total,80.00,73.00,85.00,99.00,90.00,65.00,62.00,60.00,296.00,
Registered psychiatric nurses,Manitoba,Outflow,Age <35,24.00,20.00,22.00,35.00,25.00,16.00,13.00,18.00,199.00,
Registered psychiatric nurses,Manitoba,Outflow,Age 35-54,17.00,7.00,18.00,15.00,8.00,14.00,10.00,17.00,57.00,
Registered psychiatric nurses,Manitoba,Outflow,Age 55+,39.00,46.00,45.00,49.00,57.00,35.00,39.00,25.00,40.00,
Registered psychiatric nurses,Manitoba,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Registered psychiatric nurses,Manitoba,Renewal,Total,917.00,915.00,946.00,969.00,978.00,974.00,968.00,1050.00,1078.00,872.00
Registered psychiatric nurses,Manitoba,Renewal,Age <35,182.00,210.00,253.00,286.00,304.00,322.00,323.00,390.00,385.00,216.00
Registered psychiatric nurses,Manitoba,Renewal,Age 35-54,424.00,401.00,390.00,386.00,395.00,394.00,393.00,417.00,453.00,432.00
Registered psychiatric nurses,Manitoba,Renewal,Age 55+,311.00,304.00,303.00,297.00,279.00,258.00,252.00,243.00,240.00,224.00
Registered psychiatric nurses,Manitoba,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Manitoba,Employment status,Employed in profession,938.00,979.00,1002.00,992.00,968.00,990.00,1020.00,1045.00,1080.00,1088.00
Registered psychiatric nurses,Manitoba,Employment status,Employed in other than profession and seeking employment in profession,1.00,0.00,2.00,5.00,13.00,5.00,4.00,5.00,7.00,10.00
Registered psychiatric nurses,Manitoba,Employment status,Employed in other than profession and not seeking employment in profession,9.00,7.00,9.00,11.00,9.00,2.00,12.00,8.00,11.00,6.00
Registered psychiatric nurses,Manitoba,Employment status,Not employed and seeking employment in profession,10.00,9.00,11.00,19.00,25.00,6.00,16.00,14.00,12.00,13.00
Registered psychiatric nurses,Manitoba,Employment status,Not employed and not seeking employment in profession,8.00,5.00,4.00,4.00,5.00,1.00,6.00,4.00,3.00,5.00
Registered psychiatric nurses,Manitoba,Employment status,Not stated,29.00,19.00,26.00,46.00,44.00,29.00,54.00,62.00,55.00,55.00
Registered psychiatric nurses,Manitoba,Location of graduation,Canadian educated,984.00,1008.00,1042.00,1063.00,1046.00,1014.00,1092.00,1118.00,1148.00,1156.00
Registered psychiatric nurses,Manitoba,Location of graduation,Internationally educated,10.00,10.00,8.00,9.00,18.00,19.00,20.00,20.00,20.00,21.00
Registered psychiatric nurses,Manitoba,Location of graduation,Not stated,1.00,1.00,4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Manitoba,Years since graduation,<5 years,202.00,229.00,263.00,298.00,292.00,262.00,298.00,292.00,282.00,273.00
Registered psychiatric nurses,Manitoba,Years since graduation,5-10 years,157.00,169.00,182.00,196.00,198.00,224.00,258.00,292.00,316.00,347.00
Registered psychiatric nurses,Manitoba,Years since graduation,11-20 years,111.00,111.00,140.00,157.00,185.00,206.00,234.00,251.00,270.00,284.00
Registered psychiatric nurses,Manitoba,Years since graduation,21-30 years,232.00,218.00,185.00,163.00,148.00,123.00,109.00,96.00,86.00,76.00
Registered psychiatric nurses,Manitoba,Years since graduation,31+ years,293.00,292.00,284.00,263.00,241.00,218.00,213.00,207.00,214.00,197.00
Registered psychiatric nurses,Manitoba,Years since graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Saskatchewan,Supply,Total,878.00,850.00,844.00,826.00,802.00,799.00,769.00,772.00,788.00,798.00
Registered psychiatric nurses,Saskatchewan,Age,Age <25,17.00,16.00,20.00,27.00,29.00,28.00,13.00,31.00,38.00,32.00
Registered psychiatric nurses,Saskatchewan,Age,Age 25-34,127.00,147.00,153.00,169.00,175.00,181.00,175.00,193.00,202.00,206.00
Registered psychiatric nurses,Saskatchewan,Age,Age 35-44,134.00,109.00,103.00,98.00,93.00,100.00,106.00,119.00,137.00,173.00
Registered psychiatric nurses,Saskatchewan,Age,Age 45-54,306.00,303.00,282.00,266.00,246.00,229.00,212.00,190.00,180.00,161.00
Registered psychiatric nurses,Saskatchewan,Age,Age 55-64,239.00,218.00,229.00,210.00,213.00,212.00,211.00,201.00,188.00,182.00
Registered psychiatric nurses,Saskatchewan,Age,Age 65+,55.00,57.00,57.00,56.00,46.00,49.00,52.00,38.00,43.00,44.00
Registered psychiatric nurses,Saskatchewan,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Saskatchewan,Age,Average age,48.50,48.00,47.80,47.10,46.80,46.60,47.00,45.50,45.00,44.30
Registered psychiatric nurses,Saskatchewan,Sex,Female,755.00,734.00,731.00,715.00,694.00,698.00,672.00,672.00,689.00,699.00
Registered psychiatric nurses,Saskatchewan,Sex,Male,123.00,116.00,113.00,111.00,108.00,101.00,97.00,100.00,99.00,99.00
Registered psychiatric nurses,Saskatchewan,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Saskatchewan,Inflow,Total,83.00,38.00,54.00,50.00,35.00,51.00,20.00,77.00,58.00,59.00
Registered psychiatric nurses,Saskatchewan,Inflow,Age <35,39.00,28.00,30.00,38.00,24.00,29.00,9.00,58.00,38.00,38.00
Registered psychiatric nurses,Saskatchewan,Inflow,Age 35-54,18.00,9.00,18.00,10.00,10.00,17.00,7.00,16.00,18.00,17.00
Registered psychiatric nurses,Saskatchewan,Inflow,Age 55+,26.00,1.00,6.00,2.00,1.00,5.00,4.00,3.00,2.00,4.00
Registered psychiatric nurses,Saskatchewan,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Saskatchewan,Outflow,Total,66.00,60.00,68.00,59.00,54.00,50.00,74.00,42.00,49.00,
Registered psychiatric nurses,Saskatchewan,Outflow,Age <35,3.00,13.00,6.00,8.00,10.00,10.00,9.00,5.00,6.00,
Registered psychiatric nurses,Saskatchewan,Outflow,Age 35-54,16.00,12.00,17.00,13.00,14.00,9.00,18.00,8.00,11.00,
Registered psychiatric nurses,Saskatchewan,Outflow,Age 55+,47.00,35.00,45.00,38.00,30.00,31.00,47.00,29.00,32.00,
Registered psychiatric nurses,Saskatchewan,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Registered psychiatric nurses,Saskatchewan,Renewal,Total,795.00,812.00,790.00,776.00,767.00,748.00,749.00,695.00,730.00,739.00
Registered psychiatric nurses,Saskatchewan,Renewal,Age <35,105.00,135.00,143.00,158.00,180.00,180.00,179.00,166.00,202.00,200.00
Registered psychiatric nurses,Saskatchewan,Renewal,Age 35-54,422.00,403.00,367.00,354.00,329.00,312.00,311.00,293.00,299.00,317.00
Registered psychiatric nurses,Saskatchewan,Renewal,Age 55+,268.00,274.00,280.00,264.00,258.00,256.00,259.00,236.00,229.00,222.00
Registered psychiatric nurses,Saskatchewan,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Saskatchewan,Employment status,Employed in profession,841.00,825.00,787.00,755.00,712.00,706.00,713.00,679.00,692.00,702.00
Registered psychiatric nurses,Saskatchewan,Employment status,Employed in other than profession and seeking employment in profession,3.00,1.00,8.00,10.00,10.00,9.00,7.00,5.00,6.00,7.00
Registered psychiatric nurses,Saskatchewan,Employment status,Employed in other than profession and not seeking employment in profession,6.00,19.00,37.00,46.00,51.00,46.00,42.00,49.00,41.00,38.00
Registered psychiatric nurses,Saskatchewan,Employment status,Not employed and seeking employment in profession,4.00,4.00,4.00,2.00,2.00,8.00,4.00,3.00,4.00,6.00
Registered psychiatric nurses,Saskatchewan,Employment status,Not employed and not seeking employment in profession,18.00,0.00,7.00,11.00,1.00,2.00,3.00,2.00,5.00,1.00
Registered psychiatric nurses,Saskatchewan,Employment status,Not stated,6.00,1.00,1.00,2.00,26.00,28.00,0.00,34.00,40.00,44.00
Registered psychiatric nurses,Saskatchewan,Location of graduation,Canadian educated,816.00,800.00,800.00,813.00,789.00,786.00,757.00,761.00,777.00,785.00
Registered psychiatric nurses,Saskatchewan,Location of graduation,Internationally educated,11.00,9.00,12.00,13.00,13.00,13.00,12.00,11.00,11.00,13.00
Registered psychiatric nurses,Saskatchewan,Location of graduation,Not stated,51.00,41.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Saskatchewan,Years since graduation,<5 years,133.00,137.00,152.00,145.00,125.00,116.00,88.00,119.00,130.00,156.00
Registered psychiatric nurses,Saskatchewan,Years since graduation,5-10 years,59.00,76.00,85.00,121.00,143.00,174.00,177.00,179.00,183.00,176.00
Registered psychiatric nurses,Saskatchewan,Years since graduation,11-20 years,108.00,83.00,67.00,37.00,35.00,35.00,55.00,78.00,107.00,132.00
Registered psychiatric nurses,Saskatchewan,Years since graduation,21-30 years,287.00,280.00,277.00,272.00,244.00,220.00,197.00,162.00,130.00,99.00
Registered psychiatric nurses,Saskatchewan,Years since graduation,31+ years,291.00,273.00,263.00,251.00,255.00,254.00,252.00,234.00,238.00,235.00
Registered psychiatric nurses,Saskatchewan,Years since graduation,Not stated,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Alberta,Supply,Total,1306.00,1313.00,1317.00,1334.00,1349.00,1368.00,1364.00,1390.00,1430.00,1453.00
Registered psychiatric nurses,Alberta,Age,Age <25,48.00,48.00,63.00,64.00,46.00,55.00,64.00,66.00,64.00,56.00
Registered psychiatric nurses,Alberta,Age,Age 25-34,268.00,277.00,290.00,313.00,350.00,364.00,357.00,369.00,373.00,378.00
Registered psychiatric nurses,Alberta,Age,Age 35-44,225.00,235.00,234.00,257.00,258.00,290.00,302.00,328.00,345.00,379.00
Registered psychiatric nurses,Alberta,Age,Age 45-54,385.00,378.00,351.00,320.00,313.00,286.00,269.00,269.00,283.00,270.00
Registered psychiatric nurses,Alberta,Age,Age 55-64,291.00,288.00,298.00,304.00,307.00,301.00,306.00,288.00,287.00,294.00
Registered psychiatric nurses,Alberta,Age,Age 65+,89.00,87.00,81.00,76.00,75.00,72.00,66.00,70.00,78.00,76.00
Registered psychiatric nurses,Alberta,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Alberta,Age,Average age,46.00,45.90,45.40,45.00,44.80,44.20,44.00,43.50,43.60,43.60
Registered psychiatric nurses,Alberta,Sex,Female,1013.00,1020.00,1033.00,1055.00,1069.00,1089.00,1085.00,1111.00,1141.00,1167.00
Registered psychiatric nurses,Alberta,Sex,Male,293.00,293.00,284.00,279.00,280.00,279.00,279.00,279.00,289.00,286.00
Registered psychiatric nurses,Alberta,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Alberta,Inflow,Total,104.00,110.00,105.00,110.00,105.00,111.00,103.00,140.00,126.00,108.00
Registered psychiatric nurses,Alberta,Inflow,Age <35,76.00,72.00,78.00,80.00,74.00,75.00,65.00,83.00,68.00,64.00
Registered psychiatric nurses,Alberta,Inflow,Age 35-54,21.00,30.00,24.00,22.00,25.00,33.00,31.00,46.00,44.00,35.00
Registered psychiatric nurses,Alberta,Inflow,Age 55+,7.00,8.00,3.00,8.00,6.00,3.00,7.00,11.00,14.00,9.00
Registered psychiatric nurses,Alberta,Inflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Alberta,Outflow,Total,103.00,101.00,93.00,90.00,92.00,107.00,114.00,86.00,85.00,
Registered psychiatric nurses,Alberta,Outflow,Age <35,39.00,32.00,26.00,32.00,24.00,31.00,30.00,32.00,23.00,
Registered psychiatric nurses,Alberta,Outflow,Age 35-54,18.00,28.00,21.00,17.00,15.00,29.00,27.00,18.00,27.00,
Registered psychiatric nurses,Alberta,Outflow,Age 55+,46.00,41.00,46.00,41.00,53.00,47.00,57.00,36.00,35.00,
Registered psychiatric nurses,Alberta,Outflow,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Registered psychiatric nurses,Alberta,Renewal,Total,1202.00,1203.00,1212.00,1224.00,1244.00,1257.00,1261.00,1250.00,1304.00,1345.00
Registered psychiatric nurses,Alberta,Renewal,Age <35,240.00,253.00,275.00,297.00,322.00,344.00,356.00,352.00,369.00,370.00
Registered psychiatric nurses,Alberta,Renewal,Age 35-54,589.00,583.00,561.00,555.00,546.00,543.00,540.00,551.00,584.00,614.00
Registered psychiatric nurses,Alberta,Renewal,Age 55+,373.00,367.00,376.00,372.00,376.00,370.00,365.00,347.00,351.00,361.00
Registered psychiatric nurses,Alberta,Renewal,Age not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Alberta,Employment status,Employed in profession,1284.00,1265.00,1276.00,1295.00,1308.00,1337.00,1327.00,1373.00,1419.00,1439.00
Registered psychiatric nurses,Alberta,Employment status,Employed in other than profession and seeking employment in profession,9.00,15.00,7.00,10.00,12.00,7.00,18.00,4.00,2.00,1.00
Registered psychiatric nurses,Alberta,Employment status,Employed in other than profession and not seeking employment in profession,6.00,5.00,7.00,5.00,6.00,11.00,4.00,3.00,2.00,4.00
Registered psychiatric nurses,Alberta,Employment status,Not employed and seeking employment in profession,6.00,26.00,14.00,14.00,8.00,11.00,13.00,7.00,6.00,8.00
Registered psychiatric nurses,Alberta,Employment status,Not employed and not seeking employment in profession,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00
Registered psychiatric nurses,Alberta,Employment status,Not stated,0.00,1.00,12.00,9.00,15.00,1.00,2.00,2.00,0.00,1.00
Registered psychiatric nurses,Alberta,Location of graduation,Canadian educated,1183.00,1192.00,1206.00,1228.00,1245.00,1262.00,1266.00,1295.00,1335.00,1358.00
Registered psychiatric nurses,Alberta,Location of graduation,Internationally educated,123.00,121.00,111.00,106.00,104.00,106.00,98.00,95.00,95.00,95.00
Registered psychiatric nurses,Alberta,Location of graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,Alberta,Years since graduation,<5 years,243.00,239.00,242.00,256.00,254.00,263.00,261.00,274.00,283.00,273.00
Registered psychiatric nurses,Alberta,Years since graduation,5-10 years,244.00,262.00,281.00,304.00,319.00,333.00,333.00,345.00,342.00,360.00
Registered psychiatric nurses,Alberta,Years since graduation,11-20 years,180.00,186.00,199.00,211.00,236.00,263.00,294.00,332.00,377.00,408.00
Registered psychiatric nurses,Alberta,Years since graduation,21-30 years,295.00,288.00,267.00,244.00,219.00,208.00,176.00,167.00,157.00,144.00
Registered psychiatric nurses,Alberta,Years since graduation,31+ years,344.00,338.00,328.00,319.00,321.00,301.00,300.00,272.00,271.00,268.00
Registered psychiatric nurses,Alberta,Years since graduation,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,British Columbia,Supply,Total,2580.00,2670.00,2719.00,2787.00,2827.00,2906.00,3082.00,3203.00,3314.00,3459.00
Registered psychiatric nurses,British Columbia,Age,Age <25,44.00,48.00,46.00,35.00,31.00,32.00,36.00,52.00,52.00,37.00
Registered psychiatric nurses,British Columbia,Age,Age 25-34,573.00,654.00,682.00,725.00,769.00,772.00,855.00,891.00,963.00,1002.00
Registered psychiatric nurses,British Columbia,Age,Age 35-44,638.00,646.00,676.00,708.00,678.00,728.00,810.00,868.00,907.00,1000.00
Registered psychiatric nurses,British Columbia,Age,Age 45-54,679.00,687.00,673.00,697.00,719.00,728.00,734.00,759.00,758.00,755.00
Registered psychiatric nurses,British Columbia,Age,Age 55-64,495.00,469.00,481.00,474.00,500.00,501.00,501.00,485.00,483.00,508.00
Registered psychiatric nurses,British Columbia,Age,Age 65+,151.00,166.00,161.00,148.00,130.00,145.00,146.00,148.00,151.00,157.00
Registered psychiatric nurses,British Columbia,Age,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,British Columbia,Age,Average age,45.20,44.60,44.40,44.10,44.00,44.10,43.60,43.20,42.90,42.90
Registered psychiatric nurses,British Columbia,Sex,Female,2010.00,2107.00,2148.00,2206.00,2242.00,2322.00,2473.00,2597.00,2712.00,2837.00
Registered psychiatric nurses,British Columbia,Sex,Male,570.00,563.00,571.00,581.00,585.00,584.00,609.00,606.00,602.00,622.00
Registered psychiatric nurses,British Columbia,Sex,Not stated,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,British Columbia,Inflow,Total,250.00,261.00,247.00,267.00,,222.00,307.00,278.00,254.00,270.00
Registered psychiatric nurses,British Columbia,Inflow,Age <35,159.00,176.00,142.00,156.00,,121.00,202.00,175.00,187.00,172.00
Registered psychiatric nurses,British Columbia,Inflow,Age 35-54,79.00,76.00,91.00,98.00,,93.00,97.00,98.00,56.00,84.00
Registered psychiatric nurses,British Columbia,Inflow,Age 55+,12.00,9.00,14.00,13.00,,8.00,8.00,5.00,11.00,14.00
Registered psychiatric nurses,British Columbia,Inflow,Age not stated,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,British Columbia,Outflow,Total,171.00,198.00,199.00,,143.00,131.00,157.00,143.00,125.00,
Registered psychiatric nurses,British Columbia,Outflow,Age <35,47.00,60.00,54.00,,49.00,25.00,28.00,20.00,28.00,
Registered psychiatric nurses,British Columbia,Outflow,Age 35-54,38.00,59.00,53.00,,37.00,40.00,50.00,49.00,39.00,
Registered psychiatric nurses,British Columbia,Outflow,Age 55+,86.00,79.00,92.00,,57.00,66.00,79.00,74.00,58.00,
Registered psychiatric nurses,British Columbia,Outflow,Age not stated,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,
Registered psychiatric nurses,British Columbia,Renewal,Total,2330.00,2409.00,2472.00,2520.00,,2684.00,2775.00,2925.00,3060.00,3189.00
Registered psychiatric nurses,British Columbia,Renewal,Age <35,458.00,526.00,586.00,604.00,,683.00,689.00,768.00,828.00,867.00
Registered psychiatric nurses,British Columbia,Renewal,Age 35-54,1238.00,1257.00,1258.00,1307.00,,1363.00,1447.00,1529.00,1609.00,1671.00
Registered psychiatric nurses,British Columbia,Renewal,Age 55+,634.00,626.00,628.00,609.00,,638.00,639.00,628.00,623.00,651.00
Registered psychiatric nurses,British Columbia,Renewal,Age not stated,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Registered psychiatric nurses,British Columbia,Employment status,Employed in profession,2400.00,2527.00,2526.00,2638.00,2680.00,2762.00,2978.00,3092.00,3178.00,3332.00
Registered psychiatric nurses,British Columbia,Employment status,Employed in other than profession and seeking employment in profession,24.00,20.00,23.00,19.00,11.00,12.00,20.00,12.00,16.00,18.00
Registered psychiatric nurses,British Columbia,Employment status,Employed in other than profession and not seeking employment in profession,49.00,36.00,30.00,29.00,5.00,8.00,8.00,6.00,12.00,14.00
Registered psychiatric nurses,British Columbia,Employment status,Not employed and seeking employment in profession,29.00,29.00,20.00,14.00,9.00,16.00,17.00,13.00,26.00,13.00
Registered psychiatric nurses,British Columbia,Employment status,Not employed and not seeking employment in profession,5.00,3.00,4.00,7.00,6.00,8.00,16.00,13.00,20.00,15.00
Registered psychiatric nurses,British Columbia,Employment status,Not stated,73.00,55.00,116.00,80.00,116.00,100.00,43.00,67.00,62.00,67.00
Registered psychiatric nurses,British Columbia,Location of graduation,Canadian educated,2022.00,2148.00,2225.00,2519.00,,,,,,
Registered psychiatric nurses,British Columbia,Location of graduation,Internationally educated,241.00,232.00,213.00,216.00,,,,,,
Registered psychiatric nurses,British Columbia,Location of graduation,Not stated,317.00,290.00,281.00,52.00,,,,,,
Registered psychiatric nurses,British Columbia,Years since graduation,<5 years,686.00,744.00,720.00,746.00,682.00,662.00,727.00,794.00,815.00,852.00
Registered psychiatric nurses,British Columbia,Years since graduation,5-10 years,497.00,572.00,661.00,699.00,696.00,790.00,861.00,899.00,925.00,965.00
Registered psychiatric nurses,British Columbia,Years since graduation,11-20 years,486.00,478.00,487.00,528.00,537.00,594.00,649.00,696.00,787.00,865.00
Registered psychiatric nurses,British Columbia,Years since graduation,21-30 years,440.00,434.00,420.00,403.00,362.00,354.00,361.00,356.00,341.00,348.00
Registered psychiatric nurses,British Columbia,Years since graduation,31+ years,471.00,442.00,431.00,410.00,400.00,400.00,371.00,355.00,343.00,340.00
Registered psychiatric nurses,British Columbia,Years since graduation,Not stated,0.00,0.00,0.00,1.00,150.00,106.00,113.00,103.00,103.00,89.00
Registered psychiatric nurses,Yukon,Supply,Total,5.00,4.00,,5.00,8.00,9.00,10.00,8.00,25.00,26.00
Registered psychiatric nurses,Yukon,Age,Age <25,,,,,,,1.00,,,
Registered psychiatric nurses,Yukon,Age,Age 25-34,,,,,,,2.00,,,
Registered psychiatric nurses,Yukon,Age,Age 35-44,,,,,,,2.00,,,
Registered psychiatric nurses,Yukon,Age,Age 45-54,,,,,,,3.00,,,
Registered psychiatric nurses,Yukon,Age,Age 55-64,,,,,,,2.00,,,
Registered psychiatric nurses,Yukon,Age,Age 65+,,,,,,,0.00,,,
Registered psychiatric nurses,Yukon,Age,Not stated,,,,,,,0.00,,,
Registered psychiatric nurses,Yukon,Age,Average age,,,,,,42.00,49.00,,,
Registered psychiatric nurses,Yukon,Sex,Female,,,,,,,6.00,,,
Registered psychiatric nurses,Yukon,Sex,Male,,,,,,,2.00,,,
