Type of professional,Jurisdiction,Category,Group,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
Registered nurses,Jurisdictions with available data,Location of graduation,Canadian educated,"265,430","266,600","267,921","269,531","271,870","274,863","281,017","282,286","283,964","285,915",
Registered nurses,Jurisdictions with available data,Location of graduation,Internationally educated,"26,296","26,513","26,857","27,466","28,308","29,473","30,917","33,059","37,341","48,090",
Registered nurses,Jurisdictions with available data,Location of graduation,Not stated,736,908,976,458,502,470,448,370,666,"3,100",
Registered nurses,Jurisdictions with available data,Years since graduation,<5 years,"42,794","42,431","42,036","44,915","46,080","46,402","47,259","47,272","46,515","47,461",
Registered nurses,Jurisdictions with available data,Years since graduation,5–10 years,"51,069","53,519","55,990","57,635","59,362","62,093","64,948","65,738","67,509","69,524",
Registered nurses,Jurisdictions with available data,Years since graduation,11–20 years,"60,380","61,390","63,456","66,487","69,879","74,471","80,356","86,052","92,378","101,035",
Registered nurses,Jurisdictions with available data,Years since graduation,21–30 years,"65,457","64,074","63,367","61,614","59,904","57,650","55,235","53,301","53,103","55,362",
Registered nurses,Jurisdictions with available data,Years since graduation,31+ years,"71,007","70,025","67,806","66,269","64,908","63,965","64,238","63,011","61,867","61,133",
Registered nurses,Jurisdictions with available data,Years since graduation,Not stated,"1,757","2,583","3,100",536,547,226,346,341,599,"2,590",
Registered psychiatric nurses,Manitoba,Supply,Total,995,"1,019","1,054","1,077","1,064","1,033","1,112","1,138","1,168","1,177",
Registered psychiatric nurses,Manitoba,Age,Age <25,42,30,29,21,26,12,24,29,29,29,
Registered psychiatric nurses,Manitoba,Age,Age 25–34,208,258,302,344,344,344,404,426,423,415,
Registered psychiatric nurses,Manitoba,Age,Age 35–44,170,169,187,206,216,236,252,257,286,322,
Registered psychiatric nurses,Manitoba,Age,Age 45–54,261,248,231,205,192,179,167,180,181,182,
Registered psychiatric nurses,Manitoba,Age,Age 55–64,274,265,254,236,223,205,205,186,192,176,
Registered psychiatric nurses,Manitoba,Age,Age 65+,40,49,51,65,63,57,60,60,57,53,
Registered psychiatric nurses,Manitoba,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Manitoba,Age,Average age,45.9,45.3,44.4,43.7,43.4,43.1,42.2,41.8,41.7,41.5,
Registered psychiatric nurses,Manitoba,Sex,Female,806,829,867,891,882,860,935,959,988,"1,002",
Registered psychiatric nurses,Manitoba,Sex,Male,189,190,187,186,182,173,177,179,180,174,
Registered psychiatric nurses,Manitoba,Sex,Not stated,0,0,0,0,0,0,0,0,0,1,
Registered psychiatric nurses,Manitoba,Inflow,Total,78,104,108,108,86,59,144,88,90,305,
Registered psychiatric nurses,Manitoba,Inflow,Age <35,68,78,78,79,66,34,105,65,67,228,
Registered psychiatric nurses,Manitoba,Inflow,Age 35–54,7,16,28,25,13,21,26,20,14,72,
Registered psychiatric nurses,Manitoba,Inflow,Age 55+,3,10,2,4,7,4,13,3,9,5,
Registered psychiatric nurses,Manitoba,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Manitoba,Outflow,Total,80,73,85,99,90,65,62,60,296,—,
Registered psychiatric nurses,Manitoba,Outflow,Age <35,24,20,22,35,25,16,13,18,199,—,
Registered psychiatric nurses,Manitoba,Outflow,Age 35–54,17,7,18,15,8,14,10,17,57,—,
Registered psychiatric nurses,Manitoba,Outflow,Age 55+,39,46,45,49,57,35,39,25,40,—,
Registered psychiatric nurses,Manitoba,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Registered psychiatric nurses,Manitoba,Renewal,Total,917,915,946,969,978,974,968,"1,050","1,078",872,
Registered psychiatric nurses,Manitoba,Renewal,Age <35,182,210,253,286,304,322,323,390,385,216,
Registered psychiatric nurses,Manitoba,Renewal,Age 35–54,424,401,390,386,395,394,393,417,453,432,
Registered psychiatric nurses,Manitoba,Renewal,Age 55+,311,304,303,297,279,258,252,243,240,224,
Registered psychiatric nurses,Manitoba,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Manitoba,Employment status,Employed in profession,938,979,1002,992,968,990,1020,1045,1080,"1,088",
Registered psychiatric nurses,Manitoba,Employment status,Employed in other than profession and seeking employment in profession,1,0,2,5,13,5,4,5,7,10,
Registered psychiatric nurses,Manitoba,Employment status,Employed in other than profession and not seeking employment in profession,9,7,9,11,9,2,12,8,11,6,
Registered psychiatric nurses,Manitoba,Employment status,Not employed and seeking employment in profession,10,9,11,19,25,6,16,14,12,13,
Registered psychiatric nurses,Manitoba,Employment status,Not employed and not seeking employment in profession,8,5,4,4,5,1,6,4,3,5,
Registered psychiatric nurses,Manitoba,Employment status,Not stated,29,19,26,46,44,29,54,62,55,55,
Registered psychiatric nurses,Manitoba,Location of graduation,Canadian educated,984,1008,1042,1063,1046,1014,1092,1118,1148,"1,156",
Registered psychiatric nurses,Manitoba,Location of graduation,Internationally educated,10,10,8,9,18,19,20,20,20,21,
Registered psychiatric nurses,Manitoba,Location of graduation,Not stated,1,1,4,5,0,0,0,0,0,0,
Registered psychiatric nurses,Manitoba,Years since graduation,<5 years,202,229,263,298,292,262,298,292,282,273,
Registered psychiatric nurses,Manitoba,Years since graduation,5–10 years,157,169,182,196,198,224,258,292,316,347,
Registered psychiatric nurses,Manitoba,Years since graduation,11–20 years,111,111,140,157,185,206,234,251,270,284,
Registered psychiatric nurses,Manitoba,Years since graduation,21–30 years,232,218,185,163,148,123,109,96,86,76,
Registered psychiatric nurses,Manitoba,Years since graduation,31+ years,293,292,284,263,241,218,213,207,214,197,
Registered psychiatric nurses,Manitoba,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Saskatchewan,Supply,Total,878,850,844,826,802,799,769,772,788,798,
Registered psychiatric nurses,Saskatchewan,Age,Age <25,17,16,20,27,29,28,13,31,38,32,
Registered psychiatric nurses,Saskatchewan,Age,Age 25–34,127,147,153,169,175,181,175,193,202,206,
Registered psychiatric nurses,Saskatchewan,Age,Age 35–44,134,109,103,98,93,100,106,119,137,173,
Registered psychiatric nurses,Saskatchewan,Age,Age 45–54,306,303,282,266,246,229,212,190,180,161,
Registered psychiatric nurses,Saskatchewan,Age,Age 55–64,239,218,229,210,213,212,211,201,188,182,
Registered psychiatric nurses,Saskatchewan,Age,Age 65+,55,57,57,56,46,49,52,38,43,44,
Registered psychiatric nurses,Saskatchewan,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Saskatchewan,Age,Average age,48.5,48.0,47.8,47.1,46.8,46.6,47.0,45.5,45.0,44.3,
Registered psychiatric nurses,Saskatchewan,Sex,Female,755,734,731,715,694,698,672,672,689,699,
Registered psychiatric nurses,Saskatchewan,Sex,Male,123,116,113,111,108,101,97,100,99,99,
Registered psychiatric nurses,Saskatchewan,Sex,Not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Saskatchewan,Inflow,Total,83,38,54,50,35,51,20,77,58,59,
Registered psychiatric nurses,Saskatchewan,Inflow,Age <35,39,28,30,38,24,29,9,58,38,38,
Registered psychiatric nurses,Saskatchewan,Inflow,Age 35–54,18,9,18,10,10,17,7,16,18,17,
Registered psychiatric nurses,Saskatchewan,Inflow,Age 55+,26,1,6,2,1,5,4,3,2,4,
Registered psychiatric nurses,Saskatchewan,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Saskatchewan,Outflow,Total,66,60,68,59,54,50,74,42,49,—,
Registered psychiatric nurses,Saskatchewan,Outflow,Age <35,3,13,6,8,10,10,9,5,6,—,
Registered psychiatric nurses,Saskatchewan,Outflow,Age 35–54,16,12,17,13,14,9,18,8,11,—,
Registered psychiatric nurses,Saskatchewan,Outflow,Age 55+,47,35,45,38,30,31,47,29,32,—,
Registered psychiatric nurses,Saskatchewan,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Registered psychiatric nurses,Saskatchewan,Renewal,Total,795,812,790,776,767,748,749,695,730,739,
Registered psychiatric nurses,Saskatchewan,Renewal,Age <35,105,135,143,158,180,180,179,166,202,200,
Registered psychiatric nurses,Saskatchewan,Renewal,Age 35–54,422,403,367,354,329,312,311,293,299,317,
Registered psychiatric nurses,Saskatchewan,Renewal,Age 55+,268,274,280,264,258,256,259,236,229,222,
Registered psychiatric nurses,Saskatchewan,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Saskatchewan,Employment status,Employed in profession,841,825,787,755,712,706,713,679,692,702,
Registered psychiatric nurses,Saskatchewan,Employment status,Employed in other than profession and seeking employment in profession,3,1,8,10,10,9,7,5,6,7,
Registered psychiatric nurses,Saskatchewan,Employment status,Employed in other than profession and not seeking employment in profession,6,19,37,46,51,46,42,49,41,38,
Registered psychiatric nurses,Saskatchewan,Employment status,Not employed and seeking employment in profession,4,4,4,2,2,8,4,3,4,6,
Registered psychiatric nurses,Saskatchewan,Employment status,Not employed and not seeking employment in profession,18,0,7,11,1,2,3,2,5,1,
Registered psychiatric nurses,Saskatchewan,Employment status,Not stated,6,1,1,2,26,28,0,34,40,44,
Registered psychiatric nurses,Saskatchewan,Location of graduation,Canadian educated,816,800,800,813,789,786,757,761,777,785,
Registered psychiatric nurses,Saskatchewan,Location of graduation,Internationally educated,11,9,12,13,13,13,12,11,11,13,
Registered psychiatric nurses,Saskatchewan,Location of graduation,Not stated,51,41,32,0,0,0,0,0,0,0,
Registered psychiatric nurses,Saskatchewan,Years since graduation,<5 years,133,137,152,145,125,116,88,119,130,156,
Registered psychiatric nurses,Saskatchewan,Years since graduation,5–10 years,59,76,85,121,143,174,177,179,183,176,
Registered psychiatric nurses,Saskatchewan,Years since graduation,11–20 years,108,83,67,37,35,35,55,78,107,132,
Registered psychiatric nurses,Saskatchewan,Years since graduation,21–30 years,287,280,277,272,244,220,197,162,130,99,
Registered psychiatric nurses,Saskatchewan,Years since graduation,31+ years,291,273,263,251,255,254,252,234,238,235,
Registered psychiatric nurses,Saskatchewan,Years since graduation,Not stated,0,1,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Alberta,Supply,Total,"1,306","1,313","1,317","1,334","1,349","1,368","1,364","1,390","1,430","1,453",
Registered psychiatric nurses,Alberta,Age,Age <25,48,48,63,64,46,55,64,66,64,56,
Registered psychiatric nurses,Alberta,Age,Age 25–34,268,277,290,313,350,364,357,369,373,378,
Registered psychiatric nurses,Alberta,Age,Age 35–44,225,235,234,257,258,290,302,328,345,379,
Registered psychiatric nurses,Alberta,Age,Age 45–54,385,378,351,320,313,286,269,269,283,270,
Registered psychiatric nurses,Alberta,Age,Age 55–64,291,288,298,304,307,301,306,288,287,294,
Registered psychiatric nurses,Alberta,Age,Age 65+,89,87,81,76,75,72,66,70,78,76,
Registered psychiatric nurses,Alberta,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Alberta,Age,Average age,46.0,45.9,45.4,45.0,44.8,44.2,44.0,43.5,43.6,43.6,
Registered psychiatric nurses,Alberta,Sex,Female,"1,013","1,020","1,033","1,055","1,069","1,089","1,085","1,111","1,141","1,167",
Registered psychiatric nurses,Alberta,Sex,Male,293,293,284,279,280,279,279,279,289,286,
Registered psychiatric nurses,Alberta,Sex,Not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Alberta,Inflow,Total,104,110,105,110,105,111,103,140,126,108,
Registered psychiatric nurses,Alberta,Inflow,Age <35,76,72,78,80,74,75,65,83,68,64,
Registered psychiatric nurses,Alberta,Inflow,Age 35–54,21,30,24,22,25,33,31,46,44,35,
Registered psychiatric nurses,Alberta,Inflow,Age 55+,7,8,3,8,6,3,7,11,14,9,
Registered psychiatric nurses,Alberta,Inflow,Age not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Alberta,Outflow,Total,103,101,93,90,92,107,114,86,85,—,
Registered psychiatric nurses,Alberta,Outflow,Age <35,39,32,26,32,24,31,30,32,23,—,
Registered psychiatric nurses,Alberta,Outflow,Age 35–54,18,28,21,17,15,29,27,18,27,—,
Registered psychiatric nurses,Alberta,Outflow,Age 55+,46,41,46,41,53,47,57,36,35,—,
Registered psychiatric nurses,Alberta,Outflow,Age not stated,0,0,0,0,0,0,0,0,0,—,
Registered psychiatric nurses,Alberta,Renewal,Total,"1,202","1,203","1,212","1,224","1,244","1,257","1,261","1,250","1,304","1,345",
Registered psychiatric nurses,Alberta,Renewal,Age <35,240,253,275,297,322,344,356,352,369,370,
Registered psychiatric nurses,Alberta,Renewal,Age 35–54,589,583,561,555,546,543,540,551,584,614,
Registered psychiatric nurses,Alberta,Renewal,Age 55+,373,367,376,372,376,370,365,347,351,361,
Registered psychiatric nurses,Alberta,Renewal,Age not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Alberta,Employment status,Employed in profession,"1,284","1,265","1,276","1,295","1,308","1,337","1,327","1,373","1,419","1,439",
Registered psychiatric nurses,Alberta,Employment status,Employed in other than profession and seeking employment in profession,9,15,7,10,12,7,18,4,2,1,
Registered psychiatric nurses,Alberta,Employment status,Employed in other than profession and not seeking employment in profession,6,5,7,5,6,11,4,3,2,4,
Registered psychiatric nurses,Alberta,Employment status,Not employed and seeking employment in profession,6,26,14,14,8,11,13,7,6,8,
Registered psychiatric nurses,Alberta,Employment status,Not employed and not seeking employment in profession,1,1,1,1,0,1,0,1,1,0,
Registered psychiatric nurses,Alberta,Employment status,Not stated,0,1,12,9,15,1,2,2,0,1,
Registered psychiatric nurses,Alberta,Location of graduation,Canadian educated,"1,183","1,192","1,206","1,228","1,245","1,262","1,266","1,295","1,335","1,358",
Registered psychiatric nurses,Alberta,Location of graduation,Internationally educated,123,121,111,106,104,106,98,95,95,95,
Registered psychiatric nurses,Alberta,Location of graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,Alberta,Years since graduation,<5 years,243,239,242,256,254,263,261,274,283,273,
Registered psychiatric nurses,Alberta,Years since graduation,5–10 years,244,262,281,304,319,333,333,345,342,360,
Registered psychiatric nurses,Alberta,Years since graduation,11–20 years,180,186,199,211,236,263,294,332,377,408,
Registered psychiatric nurses,Alberta,Years since graduation,21–30 years,295,288,267,244,219,208,176,167,157,144,
Registered psychiatric nurses,Alberta,Years since graduation,31+ years,344,338,328,319,321,301,300,272,271,268,
Registered psychiatric nurses,Alberta,Years since graduation,Not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,British Columbia,Supply,Total,2580,2670,2719,2787,2827,2906,3082,3203,3314,"3,459",
Registered psychiatric nurses,British Columbia,Age,Age <25,44,48,46,35,31,32,36,52,52,37,
Registered psychiatric nurses,British Columbia,Age,Age 25–34,573,654,682,725,769,772,855,891,963,"1,002",
Registered psychiatric nurses,British Columbia,Age,Age 35–44,638,646,676,708,678,728,810,868,907,"1,000",
Registered psychiatric nurses,British Columbia,Age,Age 45–54,679,687,673,697,719,728,734,759,758,755,
Registered psychiatric nurses,British Columbia,Age,Age 55–64,495,469,481,474,500,501,501,485,483,508,
Registered psychiatric nurses,British Columbia,Age,Age 65+,151,166,161,148,130,145,146,148,151,157,
Registered psychiatric nurses,British Columbia,Age,Not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,British Columbia,Age,Average age,45.2,44.6,44.4,44.1,44.0,44.1,43.6,43.2,42.9,42.9,
Registered psychiatric nurses,British Columbia,Sex,Female,2010,2107,2148,2206,2242,2322,2473,2597,2712,"2,837",
Registered psychiatric nurses,British Columbia,Sex,Male,570,563,571,581,585,584,609,606,602,622,
Registered psychiatric nurses,British Columbia,Sex,Not stated,0,0,0,0,0,0,0,0,0,0,
Registered psychiatric nurses,British Columbia,Inflow,Total,250,261,247,267,—,222,307,278,254,270,
Registered psychiatric nurses,British Columbia,Inflow,Age <35,159,176,142,156,—,121,202,175,187,172,
Registered psychiatric nurses,British Columbia,Inflow,Age 35–54,79,76,91,98,—,93,97,98,56,84,
Registered psychiatric nurses,British Columbia,Inflow,Age 55+,12,9,14,13,—,8,8,5,11,14,
Registered psychiatric nurses,British Columbia,Inflow,Age not stated,0,0,0,0,—,0,0,0,0,0,
Registered psychiatric nurses,British Columbia,Outflow,Total,171,198,199,—,143,131,157,143,125,—,
Registered psychiatric nurses,British Columbia,Outflow,Age <35,47,60,54,—,49,25,28,20,28,—,
Registered psychiatric nurses,British Columbia,Outflow,Age 35–54,38,59,53,—,37,40,50,49,39,—,
Registered psychiatric nurses,British Columbia,Outflow,Age 55+,86,79,92,—,57,66,79,74,58,—,
Registered psychiatric nurses,British Columbia,Outflow,Age not stated,0,0,0,—,0,0,0,0,0,—,
Registered psychiatric nurses,British Columbia,Renewal,Total,2330,2409,2472,2520,—,2684,2775,2925,3060,"3,189",
Registered psychiatric nurses,British Columbia,Renewal,Age <35,458,526,586,604,—,683,689,768,828,867,
Registered psychiatric nurses,British Columbia,Renewal,Age 35–54,1238,1257,1258,1307,—,1363,1447,1529,1609,"1,671",
Registered psychiatric nurses,British Columbia,Renewal,Age 55+,634,626,628,609,—,638,639,628,623,651,
Registered psychiatric nurses,British Columbia,Renewal,Age not stated,0,0,0,0,—,0,0,0,0,0,
Registered psychiatric nurses,British Columbia,Employment status,Employed in profession,2400,2527,2526,2638,2680,2762,2978,3092,3178,"3,332",
Registered psychiatric nurses,British Columbia,Employment status,Employed in other than profession and seeking employment in profession,24,20,23,19,11,12,20,12,16,18,
Registered psychiatric nurses,British Columbia,Employment status,Employed in other than profession and not seeking employment in profession,49,36,30,29,5,8,8,6,12,14,
Registered psychiatric nurses,British Columbia,Employment status,Not employed and seeking employment in profession,29,29,20,14,9,16,17,13,26,13,
Registered psychiatric nurses,British Columbia,Employment status,Not employed and not seeking employment in profession,5,3,4,7,6,8,16,13,20,15,
Registered psychiatric nurses,British Columbia,Employment status,Not stated,73,55,116,80,116,100,43,67,62,67,
Registered psychiatric nurses,British Columbia,Location of graduation,Canadian educated,2022,2148,2225,2519,—,—,—,—,—,—,
Registered psychiatric nurses,British Columbia,Location of graduation,Internationally educated,241,232,213,216,—,—,—,—,—,—,
Registered psychiatric nurses,British Columbia,Location of graduation,Not stated,317,290,281,52,—,—,—,—,—,—,
Registered psychiatric nurses,British Columbia,Years since graduation,<5 years,686,744,720,746,682,662,727,794,815,852,
Registered psychiatric nurses,British Columbia,Years since graduation,5–10 years,497,572,661,699,696,790,861,899,925,965,
Registered psychiatric nurses,British Columbia,Years since graduation,11–20 years,486,478,487,528,537,594,649,696,787,865,
Registered psychiatric nurses,British Columbia,Years since graduation,21–30 years,440,434,420,403,362,354,361,356,341,348,
Registered psychiatric nurses,British Columbia,Years since graduation,31+ years,471,442,431,410,400,400,371,355,343,340,
Registered psychiatric nurses,British Columbia,Years since graduation,Not stated,0,0,0,1,150,106,113,103,103,89,
Registered psychiatric nurses,Yukon,Supply,Total,5,4,—,5,8,9,10,8,25,26,
Registered psychiatric nurses,Yukon,Age,Age <25,—,—,—,—,—,—,1,—,—,—,
Registered psychiatric nurses,Yukon,Age,Age 25–34,—,—,—,—,—,—,2,—,—,—,
Registered psychiatric nurses,Yukon,Age,Age 35–44,—,—,—,—,—,—,2,—,—,—,
Registered psychiatric nurses,Yukon,Age,Age 45–54,—,—,—,—,—,—,3,—,—,—,
Registered psychiatric nurses,Yukon,Age,Age 55–64,—,—,—,—,—,—,2,—,—,—,
Registered psychiatric nurses,Yukon,Age,Age 65+,—,—,—,—,—,—,0,—,—,—,
Registered psychiatric nurses,Yukon,Age,Not stated,—,—,—,—,—,—,0,—,—,—,
Registered psychiatric nurses,Yukon,Age,Average age,—,—,—,—,—,42,49,—,—,—,
Registered psychiatric nurses,Yukon,Sex,Female,—,—,—,—,—,—,6,—,—,—,
Registered psychiatric nurses,Yukon,Sex,Male,—,—,—,—,—,—,2,—,—,—,
Registered psychiatric nurses,Yukon,Sex,Not stated,—,—,—,—,—,—,2,—,—,—,
Registered psychiatric nurses,Yukon,Inflow,Total,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Inflow,Age <35,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Inflow,Age 35–54,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Inflow,Age 55+,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Inflow,Age not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Outflow,Total,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Outflow,Age <35,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Outflow,Age 35–54,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Outflow,Age 55+,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Outflow,Age not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Renewal,Total,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Renewal,Age <35,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Renewal,Age 35–54,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Renewal,Age 55+,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Renewal,Age not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Employment status,Employed in profession,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Employment status,Employed in other than profession and seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Employment status,Employed in other than profession and not seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Employment status,Not employed and seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Employment status,Not employed and not seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Employment status,Not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Location of graduation,Canadian educated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Location of graduation,Internationally educated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Location of graduation,Not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Years since graduation,<5 years,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Years since graduation,5–10 years,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Years since graduation,11–20 years,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Years since graduation,21–30 years,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Years since graduation,31+ years,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Yukon,Years since graduation,Not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Supply,Total,—,—,—,—,—,—,—,—,—,28,
Registered psychiatric nurses,Northwest Territories/Nunavut,Age,Age <25,—,—,—,—,—,—,—,—,—,0,
Registered psychiatric nurses,Northwest Territories/Nunavut,Age,Age 25–34,—,—,—,—,—,—,—,—,—,3,
Registered psychiatric nurses,Northwest Territories/Nunavut,Age,Age 35–44,—,—,—,—,—,—,—,—,—,9,
Registered psychiatric nurses,Northwest Territories/Nunavut,Age,Age 45–54,—,—,—,—,—,—,—,—,—,10,
Registered psychiatric nurses,Northwest Territories/Nunavut,Age,Age 55–64,—,—,—,—,—,—,—,—,—,5,
Registered psychiatric nurses,Northwest Territories/Nunavut,Age,Age 65+,—,—,—,—,—,—,—,—,—,1,
Registered psychiatric nurses,Northwest Territories/Nunavut,Age,Not stated,—,—,—,—,—,—,—,—,—,0,
Registered psychiatric nurses,Northwest Territories/Nunavut,Age,Average age,—,—,—,—,—,—,—,—,—,49.4,
Registered psychiatric nurses,Northwest Territories/Nunavut,Sex,Female,—,—,—,—,—,—,—,—,—,17,
Registered psychiatric nurses,Northwest Territories/Nunavut,Sex,Male,—,—,—,—,—,—,—,—,—,11,
Registered psychiatric nurses,Northwest Territories/Nunavut,Sex,Not stated,—,—,—,—,—,—,—,—,—,0,
Registered psychiatric nurses,Northwest Territories/Nunavut,Inflow,Total,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Inflow,Age <35,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Inflow,Age 35–54,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Inflow,Age 55+,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Inflow,Age not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Outflow,Total,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Outflow,Age <35,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Outflow,Age 35–54,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Outflow,Age 55+,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Outflow,Age not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Renewal,Total,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Renewal,Age <35,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Renewal,Age 35–54,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Renewal,Age 55+,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Renewal,Age not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Employment status,Employed in profession,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Employment status,Employed in other than profession and seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Employment status,Employed in other than profession and not seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Employment status,Not employed and seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Employment status,Not employed and not seeking employment in profession,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Employment status,Not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Location of graduation,Canadian educated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Location of graduation,Internationally educated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Location of graduation,Not stated,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Years since graduation,<5 years,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Years since graduation,5–10 years,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Years since graduation,11–20 years,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Years since graduation,21–30 years,—,—,—,—,—,—,—,—,—,—,
Registered psychiatric nurses,Northwest Territories/Nunavut,Years since graduation,31+ years,—,—,—,—,—,—,—,—,—,—,
